HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
B,52.01,B:52.01,0.860368817706363,1.07564112954213,0.502-2.31,0.650605684128605,0.17269067459502,0.381282174920212,17,0.0746,17,0.0697,211,227,19,437,17,471,0.0417,0.0348,0.0720338983050848,472
hap,06.01_01.03_15.02,hap:06.01_01.03_15.02,0.860986863995412,1.07031213570134,0.5-2.29,0.651732881188028,0.170924062093726,0.378690002813553,17,0.0697,17,0.0654,227,243,18,470,17,503,0.0369,0.0327,0.0674603174603175,504
DQA1,01.05,DQA1:01.05,0.744220075887965,1.34939791648676,0.287-6.88,0.655264760141334,0.303496166774325,0.67978305048021,5,0.0207,4,0.0154,237,256,5,479,4,516,0.0103,0.00769,0.0179282868525896,502
B,55.02,B:55.02,0.773098648312389,0.759569763544377,0.187-2.83,0.658493135110577,-0.263836919789691,0.596923441107345,5,0.0219,7,0.0287,223,237,5,451,7,481,0.011,0.0143,0.0254237288135593,472
C,14.02,C:14.02,0.881701597521132,1.0781619126368,0.575-2.02,0.658672533517864,0.134387009879993,0.304217369215881,25,0.103,25,0.0965,217,234,25,459,26,492,0.0517,0.0502,0.0998003992015968,501
A,02.05,A:02.05,1,1.07481758468243,0.0136-84.7,0.660975675292939,0.630328261790221,1.43724671635838,1,0.00415,1,0.00386,240,258,1,481,1,517,0.00207,0.00193,0.004,500
hap,05.01_01.05_10.01,hap:05.01_01.05_10.01,0.744972485775198,1.33813213535915,0.284-6.83,0.666163289740275,0.293275110150236,0.679790857024544,5,0.0205,4,0.0154,239,256,5,483,4,516,0.0102,0.00769,0.0178571428571429,504
C,04.82,C:04.82,0.676264001319369,1.61143410826903,0.183-19.4,0.692958203836405,0.366757341211199,0.928867026167894,3,0.0124,2,0.00772,239,257,3,481,2,516,0.0062,0.00386,0.00998003992015968,501
B,38.02,B:38.02,0.687213495678782,1.26416321035229,0.529-3.07,0.69369846232367,0.161795394282344,0.410814036873588,14,0.0614,12,0.0492,214,232,14,442,13,475,0.0307,0.0266,0.0550847457627119,472
B,54.01,B:54.01,0.714692215434322,0.821733629454858,0.368-1.8,0.693788600042307,-0.147899515931619,0.375647506626107,14,0.0614,18,0.0738,214,226,15,441,18,470,0.0329,0.0369,0.0677966101694915,472
C,15.02,C:15.02,1,1.07373488458713,0.432-2.67,0.696729736700092,0.167812972539263,0.430578101149078,12,0.0496,12,0.0463,230,247,12,472,12,506,0.0248,0.0232,0.0479041916167665,501
DPB1,19.01,DPB1:19.01,0.788904130178562,0.791334195493834,0.223-2.64,0.703811270528093,-0.210556629281848,0.553833002762961,6,0.0246,8,0.0309,238,251,6,482,9,509,0.0123,0.0174,0.0278330019880716,503
A,01.01,A:01.01,0.816076147799323,1.20205484330444,0.43-3.41,0.704495450374276,0.180825851849819,0.476787083839705,10,0.0415,9,0.0347,231,250,10,472,9,509,0.0207,0.0174,0.038,500
B,27.04,B:27.04,0.565529698786502,1.51269245242618,0.407-6.14,0.708313259559884,0.225236795127021,0.602040400661643,7,0.0307,5,0.0205,221,239,7,449,5,483,0.0154,0.0102,0.0254237288135593,472
B,13.02,B:13.02,0.604566847240068,0.70622265852856,0.203-2.26,0.709962470212849,-0.202069826271311,0.543335031161615,6,0.0263,9,0.0369,222,235,6,450,9,479,0.0132,0.0184,0.0317796610169492,472
B,15.11,B:15.11,1,0.800376813469956,0.116-4.79,0.715458506082424,-0.283546940267304,0.777831763640999,3,0.0132,4,0.0164,225,240,3,453,4,484,0.00658,0.0082,0.0148305084745763,472
