sample.id,DRB4.1,DRB4.2,DRB4.prob,matching
HG02028,00:00,01:03,0.97924471225072,1.16966564379457e-05
HG02029,00:00,00:00,0.999995128102385,2.81757054901899e-06
HG02031,00:00,00:00,0.999890236063206,1.26682903187494e-05
HG02032,00:00,00:00,0.9979519696863,6.8520543411051e-06
HG02035,00:00,00:00,0.988898620188999,1.6089993247817e-06
HG02040,00:00,01:03,0.997379681266872,1.03841418183857e-05
HG02047,00:00,00:00,0.999999887845918,8.3847359415941e-06
HG02048,00:00,00:00,0.99999962068302,4.98476581286765e-06
HG02049,00:00,00:00,0.992292852765173,3.45772279262926e-05
HG02050,00:00,01:03,0.999258260616887,4.65645049436178e-05
HG02057,00:00,00:00,0.999999776553033,3.93389628794783e-05
HG02058,00:00,00:00,0.994820316427264,6.77384827686667e-06
HG02060,00:00,00:00,0.997431259967195,1.41601520302429e-05
HG02061,01:03,01:03,0.929305740845928,5.77242551740569e-06
HG02064,01:03,01:03,0.945894409747377,4.7592558511655e-07
HG02067,00:00,00:00,0.993985303090054,2.51411891349156e-05
HG02069,00:00,01:03,0.975197145854407,1.05850405943173e-05
HG02070,00:00,00:00,0.989063190157312,1.12169252784907e-05
HG02072,00:00,00:00,0.982661149076272,3.05810480533882e-06
HG02073,00:00,00:00,0.988109462356322,2.25189168657674e-06
HG02075,00:00,01:03,0.990724543539642,1.70877866489102e-05
HG02076,00:00,00:00,0.983685006434751,2.20200868522853e-05
HG02078,00:00,00:00,0.99999864011711,6.78247364309393e-06
HG02079,00:00,00:00,0.990832488944649,7.54909520802897e-07
HG02081,00:00,01:03,0.999999607789716,1.74057370646447e-05
HG02082,00:00,01:03,0.968748535970498,2.26350178914084e-05
HG02084,01:03,01:03,0.97692326767327,1.12930069278045e-05
HG02085,00:00,00:00,0.999999960385891,3.58027986547392e-06
HG02086,00:00,00:00,0.999999923810752,2.25995547874435e-05
HG02087,00:00,01:03,0.966297222154926,5.88593105910888e-07
HG02088,00:00,01:03,0.997151218121381,3.44489664688545e-06
HG02113,00:00,00:00,0.983546803428979,1.74671142437937e-06
HG02116,00:00,00:00,0.999390712017982,1.18093371662721e-06
HG02121,00:00,01:03,0.98078831954259,5.13147940391405e-05
HG02122,00:00,01:03,0.930819058079019,1.77737479388558e-06
HG02127,00:00,01:03,0.994046216897077,1.41438300843167e-05
HG02128,00:00,01:03,0.998928115393465,3.03943905334616e-05
HG02130,00:00,00:00,0.99999946141474,2.29144725101142e-06
HG02131,00:00,01:03,0.986086117706959,7.23472276651974e-06
HG02133,01:03,01:03,0.96412058655759,1.84594223014055e-06
HG02134,00:00,01:03,0.983805921912435,5.09747937498288e-06
HG02136,00:00,01:03,0.986157009632898,4.38811311053492e-06
HG02137,00:00,01:03,0.95325982178892,6.42034553348755e-07
HG02138,00:00,01:03,0.989796316297154,2.99362556087328e-06
HG02139,00:00,01:03,0.999082651300337,1.3069625283205e-05
HG02140,00:00,01:03,0.995133129320284,8.34730879452869e-06
HG02141,00:00,01:03,0.978189780308924,5.72175034365916e-06
HG02142,00:00,01:03,0.995689557980235,1.89073088125999e-05
HG02151,00:00,01:03,0.882968249882297,8.97070792845406e-08
HG02152,00:00,00:00,0.999692645632675,1.846724138506e-06
HG02153,00:00,00:00,0.994110280782713,7.4656150974685e-06
HG02154,00:00,00:00,0.987679893581023,5.31756676093953e-05
HG02155,00:00,00:00,0.99999999633776,4.05128248041075e-06
HG02156,00:00,00:00,0.981119204785334,4.15612350753112e-06
HG02164,00:00,00:00,0.966825180940034,1.03306185401989e-05
HG02165,00:00,00:00,0.980486549309784,4.2116992192476e-05
HG02166,00:00,00:00,0.974718678604206,1.29625531585456e-06
HG02178,00:00,01:03,0.993230148202914,8.32223844994231e-06
HG02179,00:00,00:00,0.999469463924928,1.92142597663282e-05
HG02180,00:00,01:03,0.874178289506456,4.36792414874228e-06
HG02181,00:00,00:00,0.962664328104238,3.14282315237526e-06
HG02182,01:03,01:03,0.98571504306239,8.01458115636921e-06
HG02184,00:00,00:00,0.973526743592199,1.21091765329774e-05
HG02185,00:00,00:00,0.999997906893488,1.07401535978089e-05
HG02186,00:00,00:00,0.987833023513575,2.90805520058979e-06
HG02187,00:00,00:00,0.999999928661564,1.02134707291561e-05
HG02188,00:00,01:03,0.991167330634605,2.12352448988763e-05
HG02190,00:00,00:00,0.998774170173346,6.44266865498932e-06
HG02250,00:00,00:00,0.995011962079157,2.92069472568698e-05
HG02351,00:00,00:00,0.99951763671361,8.39358862608867e-06
HG02353,01:03,01:03,0.959936054567522,7.74104807556452e-07
HG02355,00:00,00:00,0.999502910671071,3.29457538504026e-06
HG02356,00:00,00:00,0.990015781598483,6.0153930874553e-06
HG02360,00:00,00:00,0.995342103763459,1.13545489201523e-05
HG02364,00:00,00:00,0.979917204521357,3.07922966391131e-07
HG02367,00:00,01:03,0.930901569442331,2.08108310093863e-05
HG02371,00:00,01:03,0.932593377608796,3.76130441203859e-06
HG02373,00:00,00:00,0.999999968942363,7.63319176533316e-06
